motif_id,pattern_type,num_instances,avg_distance,total_points,Ore_mean,Ore_std,Ore_min,Ore_max,WaterMill_mean,WaterMill_std,WaterMill_min,WaterMill_max,WaterZumpf_mean,WaterZumpf_std,WaterZumpf_min,WaterZumpf_max,DensityHC_mean,DensityHC_std,DensityHC_min,DensityHC_max,PSI200_mean,PSI200_std,PSI200_min,PSI200_max
1,mv,2,0.0,120,165.247,0.0,165.247,165.247,12.6259,0.0,12.6259,12.6259,209.23549999999994,5.684341886080802e-14,209.2355,209.2355,,,,,,,,
2,mv,20,1.3962360756632315,1200,168.05283333402332,9.9192459411368,139.70413306878305,185.35517249463902,14.024779326386955,1.867260732083034,9.835090001204058,19.700608827811767,193.78022685184533,22.057980308577246,146.18883333333332,270.1911666666667,,,,,,,,
3,mv,20,2.0025325046166587,1200,171.49431020946503,8.907538305781502,133.8783257418725,186.702,15.176459561893104,2.0757824173416,11.65248062595789,20.302288419484476,190.38918776261028,17.283063580640246,146.8301,231.98565124875125,,,,,,,,
4,mv,20,2.2210981062398796,1200,170.74611993078733,7.843293117318898,155.03517015873015,186.3068494619702,14.252495538843808,1.4695983437723061,11.552919465392996,17.339389784241874,209.21119688458393,26.460036679647637,158.49004219114218,257.6439238095238,,,,,,,,
5,mv,20,1.8808845725425278,1200,166.2431274737777,7.2418188144274795,149.69344216524217,182.46702654387667,13.39985120174096,1.3121556644016203,11.211634764077111,18.21091690420657,202.36236136839233,26.416354743201794,103.45951045695045,251.5556321877469,,,,,,,,
6,mv,20,1.8699460550744582,1200,172.96581026496318,6.416496277346835,157.11100203703703,183.20863633154485,14.640378481756416,1.6664386665166557,11.725403321708084,17.333784495485602,197.4445625662955,20.79904630717899,145.43001642552264,243.51154741702743,,,,,,,,
7,mv,20,2.367988476934808,1200,166.363309936315,7.294284148441554,154.35412065416068,180.51187642623717,13.453744889230888,1.5279049171651287,10.305140985738866,17.108422498973948,205.57430066601333,16.66049141787688,168.70637333333335,242.35652761904763,,,,,,,,
8,mv,20,3.0697895241748347,1200,170.80471550743164,9.49414417402279,130.07875953367525,185.33872647537646,14.471072776624906,2.0362821065141685,11.310679810151461,18.469913430878584,204.87587170266136,28.549903528474484,138.35382976738524,254.88584961378493,,,,,,,,
9,mv,20,2.30889822758255,1200,167.25593731034473,7.620316043816112,139.7913466756555,184.96064222669318,13.965300148022882,1.4548277278441755,11.565649043424445,18.193867418986244,200.2323356086059,25.263332977449537,144.46012843137257,248.78228148148148,,,,,,,,
10,mv,20,2.2906260798369393,1200,167.26129123869433,6.699833844676565,154.74302962962963,180.81148434620934,13.812078552940365,1.3361733602453965,11.594154234715269,18.017852271260598,209.13596734064427,32.16162676750027,97.83653512820511,251.0433346031746,,,,,,,,
